141,155,167
160,176,176
148,167,177
154,180,191
132,145,159
154,164,163
125,134,144
146,145,149
123,147,180
167,188,189
130,106,99
141,130,132
137,118,115
136,161,190
117,120,127
103,140,189
120,80,67
131,94,82
114,156,203
172,199,204
109,92,89
109,132,166
102,106,111
81,131,194
136,178,214
104,65,54
27,33,33
191,216,218
73,75,78
46,80,207
222,187,126
216,178,109
230,217,202
78,127,106
224,198,148
66,134,127
93,144,129
81,149,148
229,208,173
217,206,189
210,194,166
100,161,163
53,116,103
112,146,154
71,108,83
38,64,44
102,136,101
235,226,222
126,166,172
123,148,126
20,39,24
44,94,73
66,83,59
158,160,134
193,178,143
194,162,97
88,123,138
106,111,78
141,136,100
150,186,189
22,30,9
36,52,9
39,69,40
43,83,9
42,92,66
53,99,33
46,111,98
27,41,34
193,204,213
43,131,133
66,70,13
153,190,215
71,121,62
62,155,163
100,103,103
81,138,109
189,167,57
148,142,119
37,48,78
85,110,12
131,156,174
194,178,122
84,83,65
101,123,155
172,147,7
178,177,167
48,58,121
89,179,198
126,141,29
45,53,175
131,101,33
160,150,149
118,92,27
136,108,49
150,135,153
158,139,137
148,127,130
160,138,116
160,145,165
148,124,110
143,143,140
127,91,14
171,150,131
143,117,66
121,96,47
112,80,11
169,163,171
145,158,157
133,120,152
137,108,100
197,198,202
180,163,151
132,117,123
176,182,198
152,128,87
142,134,174
191,181,176
159,150,193
121,100,77
203,216,229
144,121,102
60,80,69
175,140,108
205,187,162
145,135,125
54,107,106
190,157,124
51,67,54
184,167,148
40,90,88
184,178,171
71,93,84
162,121,84
158,164,167
190,193,194
36,53,43
171,182,188
205,176,141
164,150,138
90,106,101
72,122,122
28,70,68
114,122,118
201,211,215
131,150,151
125,106,88
215,203,189
20,39,25
219,228,231
96,142,140
117,120,125
110,110,115
129,109,114
91,106,110
131,125,128
97,114,121
152,127,130
162,138,141
70,90,91
121,98,105
143,116,119
78,100,103
102,98,105
88,91,94
101,122,134
118,130,141
53,85,86
171,149,153
141,136,140
43,74,74
78,114,120
110,85,96
57,100,107
135,106,100
69,75,75
28,61,63
139,148,159
183,165,170
156,167,179
197,191,199
213,190,181
115,111,119
207,198,202
212,179,165
129,124,133
150,133,145
195,178,172
170,167,189
190,181,197
105,122,145
171,144,153
154,150,169
90,103,129
180,158,171
78,82,104
100,97,107
127,138,159
202,161,151
52,72,92
60,99,121
112,85,87
76,122,149
83,65,71
98,138,176
177,129,129
147,109,112
134,159,192
169,194,220
46,45,59
212,214,225
224,199,198
217,214,216
199,190,189
196,206,208
93,140,139
177,175,174
76,119,118
214,174,171
50,106,111
46,83,85
170,195,198
197,153,149
115,161,164
238,223,223
79,92,88
137,182,189
158,157,157
56,130,143
73,151,170
108,115,112
14,58,73
31,144,173
60,162,198
129,138,136
47,64,60
18,117,144
17,83,106
97,176,202
176,129,123
10,35,38
73,105,68
59,89,52
72,112,92
91,119,83
90,122,106
45,54,22
104,136,120
45,73,36
64,70,38
60,90,78
76,139,128
126,148,129
47,70,64
61,122,114
83,141,101
78,87,54
90,155,143
107,170,157
47,107,95
142,165,145
112,134,97
106,161,118
96,103,68
27,34,9
32,87,73
122,186,179
27,55,43
142,209,205
164,189,170
179,231,224
124,121,97
168,134,110
106,109,83
187,142,115
84,94,74
85,107,94
99,123,105
66,91,95
150,118,96
143,135,114
60,77,77
208,154,125
175,120,94
119,136,119
77,106,116
77,74,60
91,122,131
162,150,130
105,81,70
187,160,142
52,58,57
137,152,140
134,99,78
104,142,149
223,170,141
160,168,165
119,157,180
208,198,183
154,185,219
228,229,233
183,169,127
196,194,172
189,178,142
190,184,158
156,167,161
144,155,151
169,178,170
153,147,127
163,158,140
133,143,140
137,163,171
175,169,151
123,153,161
142,134,113
152,139,92
173,158,120
181,188,179
150,174,181
197,199,187
111,140,148
163,143,105
121,129,128
168,130,80
144,120,87
165,187,191
127,120,100
101,108,115
97,125,133
119,106,78
84,91,98
187,180,156
95,133,154
82,118,142
102,125,135
169,175,161
196,189,166
114,139,148
146,168,170
130,153,157
109,148,167
88,109,122
125,163,179
68,99,125
56,79,107
53,63,80
174,167,140
44,84,129
151,158,147
161,183,184
140,183,197
34,66,102
58,102,147
27,47,71
43,43,44
133,137,126
77,90,101
169,205,214
171,149,113
19,23,30
169,128,79
